molecule_chembl_id,smiles,ic50_nm,pIC50,scaffold,series,pIC50_bin
CHEMBL53426,Brc1cccc(Nc2ncnc3cnc(NCCc4c[nH]cn4)nc23)c1,0.25,9.6,c1ccc(Nc2ncnc3cnc(NCCc4c[nH]cn4)nc23)cc1,minor_series,>=9
CHEMBL336264,C=CS(=O)(=O)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,0.43,9.37,c1ccc(Nc2ncnc3cnccc23)cc1,series_3,>=9
CHEMBL40734,Brc1cccc(Nc2ncnc3cc4[nH]ccc4cc23)c1,0.44,9.36,c1ccc(Nc2ncnc3cc4[nH]ccc4cc23)cc1,minor_series,>=9
CHEMBL285063,C=CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,0.7,9.15,c1ccc(Nc2ncnc3ccccc23)cc1,series_1,>=9
CHEMBL289213,CN(CC(=O)O)Cc1c[nH]c2cc3ncnc(Nc4cccc(Br)c4)c3cc12,0.72,9.14,c1ccc(Nc2ncnc3cc4[nH]ccc4cc23)cc1,minor_series,>=9
CHEMBL139095,C=CS(=O)(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,0.76,9.12,c1ccc(Nc2ncnc3cnccc23)cc1,series_3,>=9
CHEMBL264382,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,1.1,8.96,O=C1Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c2/C1=C/c1ccc(C(=O)NCCN2CCOCC2)[nH]1,minor_series,8-9
CHEMBL92086,C=C(C)C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,1.2,8.92,c1ccc(Nc2ncnc3ccccc23)cc1,series_1,8-9
CHEMBL422292,CCOC(=O)/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,1.5,8.82,c1ccc(Nc2ncnc3cnccc23)cc1,series_3,8-9
CHEMBL545315,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1.Cl.Cl,1.5,8.82,c1ccc(Nc2ncnc3cc(OCCCN4CCOCC4)ccc23)cc1,minor_series,8-9
CHEMBL138363,C=C(C)C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,1.6,8.8,c1ccc(Nc2ncnc3cnccc23)cc1,series_3,8-9
CHEMBL67003,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c21,1.8,8.74,O=C1Nc2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c2/C1=C/c1ccc(C(=O)N2CCOCC2)[nH]1,minor_series,8-9
CHEMBL140561,CN(C)CCCOC(=O)/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,2.4,8.62,c1ccc(Nc2ncnc3ccccc23)cc1,series_1,8-9
CHEMBL36164,OCCN(CCO)Cc1c[nH]c2cc3ncnc(Nc4cccc(Br)c4)c3cc12,3.5,8.46,c1ccc(Nc2ncnc3cc4[nH]ccc4cc23)cc1,minor_series,8-9
CHEMBL50519,COc1ccc2ncnc(Nc3cccc(Br)c3)c2n1,4.3,8.37,c1ccc(Nc2ncnc3cccnc23)cc1,minor_series,8-9
CHEMBL67057,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,4.5,8.35,O=C1Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c2/C1=C/c1ccc(C(=O)N2CCOCC2)[nH]1,minor_series,8-9
CHEMBL308645,Cc1cc(CCC(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,4.7,8.33,O=C1Nc2ncnc(Nc3ccccc3)c2/C1=C/c1ccc[nH]1,minor_series,8-9
CHEMBL36967,Brc1cccc(Nc2ncnc3cc4[nH]cc(CN5CCOCC5)c4cc23)c1,4.8,8.32,c1ccc(Nc2ncnc3cc4[nH]cc(CN5CCOCC5)c4cc23)cc1,minor_series,8-9
CHEMBL39355,Brc1cccc(Nc2ncnc3cc4c(cnn4CCCN4CCOCC4)cc23)c1,8.8,8.06,c1ccc(Nc2ncnc3cc4c(cnn4CCCN4CCOCC4)cc23)cc1,minor_series,8-9
CHEMBL434828,O=C(/C=C/c1ccccc1)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.1,8.04,O=C(/C=C/c1ccccc1)Nc1cc2c(Nc3ccccc3)ncnc2cn1,minor_series,8-9
CHEMBL66570,CCN1CCN(C(=O)c2cc(C)c(/C=C3\C(=O)Nc4ncnc(Nc5ccc(F)c(Cl)c5)c43)[nH]2)CC1,13.0,7.89,O=C1Nc2ncnc(Nc3ccccc3)c2/C1=C/c1ccc(C(=O)N2CCNCC2)[nH]1,minor_series,7-8
CHEMBL53310,CNc1ncc2ncnc(Nc3ccccc3)c2n1,13.0,7.89,c1ccc(Nc2ncnc3cncnc23)cc1,minor_series,7-8
CHEMBL136491,CN(C)/N=N/c1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,14.0,7.85,c1ccc(Nc2ncnc3ccccc23)cc1,series_1,7-8
CHEMBL338049,CN[C@H]1C[C@@H]2O[C@](C)([C@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)N[C@@H]4O,17.0,7.77,O=C1NCc2c1c1c3ccccc3n3c1c1c2c2ccccc2n1C1CCC[C@@H]3O1,series_4,7-8
CHEMBL460731,CS(=O)(=O)CCNCCCCOc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,20.0,7.7,c1ccc(Nc2ncnc3ccccc23)cc1,series_1,7-8
CHEMBL493428,CS(=O)(=O)CCNCCCCOc1ccc2ncnc(Nc3ccc4c(cnn4Cc4cccc(F)c4)c3)c2c1,24.0,7.62,c1ccc(Cn2ncc3cc(Nc4ncnc5ccccc45)ccc32)cc1,minor_series,7-8
CHEMBL514436,CS(=O)(=O)CCNCCCCOc1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1,27.0,7.57,c1ccc(COc2ccc(Nc3ncnc4ccccc34)cc2)cc1,minor_series,7-8
CHEMBL36819,O=C(O)Cn1ncc2cc3c(Nc4cccc(Br)c4)ncnc3cc21,53.0,7.28,c1ccc(Nc2ncnc3cc4[nH]ncc4cc23)cc1,minor_series,7-8
CHEMBL160303,CS(=O)(=O)CCNc1nc(-c2ccc3ncnc(Nc4ccc5c(cnn5Cc5ccccc5)c4)c3c2)cs1,71.0,7.15,c1ccc(Cn2ncc3cc(Nc4ncnc5ccc(-c6cscn6)cc45)ccc32)cc1,minor_series,7-8
CHEMBL31965,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,74.0,7.13,c1ccc(Nc2ncnc3cc(OCCCN4CCOCC4)ccc23)cc1,minor_series,7-8
CHEMBL1744347,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCCN1CCN(C)CC1.Cl,75.0,7.12,c1ccc(Nc2ncnc3cc(OCCCN4CCNCC4)ccc23)cc1,minor_series,7-8
CHEMBL540701,C=CCOc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1,79.0,7.1,c1ccc(COc2ccc(Nc3ncnc4ccccc34)cc2)cc1,minor_series,7-8
CHEMBL53311,Clc1ncc2ncnc(Nc3cccc(Br)c3)c2n1,82.0,7.09,c1ccc(Nc2ncnc3cncnc23)cc1,minor_series,7-8
CHEMBL52015,CN(C)c1ccc2ncnc(Nc3cccc(Br)c3)c2c1,84.0,7.08,c1ccc(Nc2ncnc3ccccc23)cc1,series_1,7-8
CHEMBL327127,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3cccc(CO)c3)nc21,90.0,7.05,O=c1[nH]c2nc(Nc3ccccc3)ncc2cc1-c1ccccc1,series_5,7-8
CHEMBL335440,O=S(=O)(CCO)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,93.5,7.03,c1ccc(Nc2ncnc3cnccc23)cc1,series_3,7-8
CHEMBL1202477,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCCN1CCN(C)CC1.Cl,100.0,7.0,c1ccc(Nc2ncnc3cc(OCCCN4CCNCC4)ccc23)cc1,minor_series,6-7
CHEMBL2448067,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCCN1CCCC1.Cl,100.0,7.0,c1ccc(Nc2ncnc3cc(OCCCN4CCCC4)ccc23)cc1,minor_series,6-7
CHEMBL133024,C/N=N/Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,100.0,7.0,c1ccc(Nc2ncnc3ccccc23)cc1,series_1,6-7
CHEMBL337027,CO[C@H]1[C@@H](N(C)C(=O)CCC(=O)O)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,160.0,6.8,O=C1NCc2c1c1c3ccccc3n3c1c1c2c2ccccc2n1C1CCC[C@@H]3O1,series_4,6-7
CHEMBL69960,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,170.0,6.77,O=C1Nc2ncnc(Nc3ccccc3)c2/C1=C/c1ccc(C(=O)N2CCOCC2)[nH]1,minor_series,6-7
CHEMBL305782,Cc1[nH]c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)c(C)c1CCC(=O)O,180.0,6.75,O=C1Nc2ncnc(Nc3ccccc3)c2/C1=C/c1ccc[nH]1,minor_series,6-7
CHEMBL283088,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCN1CCN(C)CC1,200.0,6.7,c1ccc(Nc2ncnc3cc(OCCN4CCNCC4)ccc23)cc1,minor_series,6-7
CHEMBL138125,Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccn4)cc23)c1,238.0,6.62,c1ccc(Nc2ncnc3ccc(N/N=N/Cc4ccccn4)cc23)cc1,minor_series,6-7
CHEMBL113023,COc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1C,250.0,6.6,O=c1[nH]c2nc(Nc3ccccc3)ncc2cc1-c1ccccc1,series_5,6-7
CHEMBL301612,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccccc3)nc21,260.0,6.58,O=c1[nH]c2nc(Nc3ccccc3)ncc2cc1-c1ccccc1,series_5,6-7
CHEMBL273789,CS(=O)(=O)CCN(CCCCOc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1)C(=O)C(F)(F)F,263.0,6.58,c1ccc(COc2ccc(Nc3ncnc4ccccc34)cc2)cc1,minor_series,6-7
CHEMBL268868,O=C1NC(=O)c2cc(Nc3ccccc3)c(Nc3ccccc3)cc21,300.0,6.52,O=C1NC(=O)c2cc(Nc3ccccc3)c(Nc3ccccc3)cc21,minor_series,6-7
CHEMBL416191,COc1cc2c(Nc3c(F)cc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1,300.0,6.52,c1ccc(Nc2ncnc3cc(OCC4CCNCC4)ccc23)cc1,minor_series,6-7
CHEMBL324926,COc1cc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc(OC)c1,330.0,6.48,O=c1[nH]c2nc(Nc3ccccc3)ncc2cc1-c1ccccc1,series_5,6-7
CHEMBL52823,Cc1cccc(Nc2ncnc3cnc(Cl)nc23)c1,380.0,6.42,c1ccc(Nc2ncnc3cncnc23)cc1,minor_series,6-7
CHEMBL281872,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCn1ccnn1,400.0,6.4,c1ccc(Nc2ncnc3cc(OCCn4ccnn4)ccc23)cc1,minor_series,6-7
CHEMBL137027,CN(C)/N=N/c1ccc2ncnc(NCc3ccccc3)c2c1,482.0,6.32,c1ccc(CNc2ncnc3ccccc23)cc1,minor_series,6-7
CHEMBL533849,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1.Cl,500.0,6.3,c1ccc(Nc2ncnc3cc(OCC4CCNCC4)ccc23)cc1,minor_series,6-7
CHEMBL25450,COc1cc2c(Nc3c(F)cc(Cl)cc3F)ncnc2cc1OCC1CCNCC1,500.0,6.3,c1ccc(Nc2ncnc3cc(OCC4CCNCC4)ccc23)cc1,minor_series,6-7
